"year_month","month_of_release","passenger_type","direction","sex","age","estimate","standard_error","status"
"2001-01","2020-09","Long-term migrant","Arrivals","Female","0-4 years",344,0,"Final"
"2001-02","2020-09","Long-term migrant","Arrivals","Female","0-4 years",269,0,"Final"
"2001-03","2020-09","Long-term migrant","Arrivals","Female","0-4 years",239,0,"Final"
"2001-04","2020-09","Long-term migrant","Arrivals","Female","0-4 years",233,0,"Final"
"2001-05","2020-09","Long-term migrant","Arrivals","Female","0-4 years",206,0,"Final"
"2001-06","2020-09","Long-term migrant","Arrivals","Female","0-4 years",253,0,"Final"
"2001-07","2020-09","Long-term migrant","Arrivals","Female","0-4 years",242,0,"Final"
"2001-08","2020-09","Long-term migrant","Arrivals","Female","0-4 years",255,0,"Final"
"2001-09","2020-09","Long-term migrant","Arrivals","Female","0-4 years",296,0,"Final"
"2001-10","2020-09","Long-term migrant","Arrivals","Female","0-4 years",296,0,"Final"
"2001-11","2020-09","Long-term migrant","Arrivals","Female","0-4 years",367,0,"Final"
"2001-12","2020-09","Long-term migrant","Arrivals","Female","0-4 years",385,0,"Final"
"2002-01","2020-09","Long-term migrant","Arrivals","Female","0-4 years",330,0,"Final"
"2002-02","2020-09","Long-term migrant","Arrivals","Female","0-4 years",303,0,"Final"
"2002-03","2020-09","Long-term migrant","Arrivals","Female","0-4 years",314,0,"Final"
"2002-04","2020-09","Long-term migrant","Arrivals","Female","0-4 years",259,0,"Final"
"2002-05","2020-09","Long-term migrant","Arrivals","Female","0-4 years",258,0,"Final"
"2002-06","2020-09","Long-term migrant","Arrivals","Female","0-4 years",251,0,"Final"
"2002-07","2020-09","Long-term migrant","Arrivals","Female","0-4 years",272,0,"Final"
