year_month,month_of_release,passenger_type,direction,sex,age,estimate
2001-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,344
2001-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,269
2001-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,239
2001-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,233
2001-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,206
2001-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,253
2001-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,242
2001-08,2020-09,Long-term migrant,Arrivals,Female,0-4 years,255
2001-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,296
2001-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,296
2001-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,367
2001-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,385
2002-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,330
2002-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,303
2002-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,314
2002-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,259
2002-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,258
2002-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,251
2002-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,272
